response_id	property_id	stay_date_weekday	season	purpose	channel	loyalty_tier	room_type	stay_nights	lead_time_days	rate_usd	issue_reported	cleanliness_score	staff_friendliness_score	checkin_score	room_comfort_score	value_for_money_score	wifi_score	breakfast_score	noise_level_score	problem_resolution_score	overall_satisfaction_score	likelihood_to_recommend	comment_text
R001297	H003	Sun	Spring	Business	Corporate	Gold	Standard	6	16	139.77	1	3	7	5	7	5	6	7	6	7	6	6	room felt small; okay overall
R001298	H016	Wed	Spring	Business	OTA	Gold	Suite	1	28	227.88	0	9	10	7	9	10	9	8	7	6	7	8	good coffee; keys didn’t work at first; met expectations
R001299	H018	Tue	Summer	Leisure	Direct	Gold	Standard	5	21	209.95	0	5	8	8	6	7	7	7	6	2	5	6	maintenance fixed it; could be better
R001300	H007	Mon	Spring	Business	Group	Silver	Standard	3	35	164.2	0	6	5	5	4	3	6	6	1	4	4	5	room felt small; won’t be back
R001301	H004	Thu	Winter	Business	Direct	Silver	Standard	1	18	125.41	0	6	8	2	7	8	8	7	6	6	7	7	problem wasn’t resolved; bathroom could be cleaner; could be better
R001302	H012	Mon	Spring	Leisure	OTA	Diamond	Standard	3	23	169.56	0	9	7	6	8	9	8	10	7	10	8	8	mobile check-in worked well; okay overall
R001303	H019	Mon	Summer	Leisure	OTA	Diamond	Standard	1	31	301.64	0	3	6	3	4	1	5	2	3	6	3	2	great view from the room; cleaning was excellent; won’t be back
R001304	H015	Fri	Fall	Business	Direct	Gold	Standard	6	0	129.55	0	6	6	7	8	7	4	6	4	6	6	6	problem wasn’t resolved; met expectations
R001305	H017	Tue	Summer	Leisure	Corporate	Gold	Premium	6	32	266.85	0	9	8	10	9	6	5	10	8	6	8	8	wifi was fast; met expectations
R001306	H012	Thu	Spring	Leisure	Direct	Silver	Premium	2	12	80.0	0	5	8	6	6	7	7	9	6	5	7	7	keys didn’t work at first; front desk was unhelpful; could be better
R001307	H009	Fri	Fall	Leisure	OTA	None	Standard	6	24	123.35	0	2	5	5	5	3	6	4	4	3	3	2	issue was resolved quickly; reasonable rate; not what I expected
R001308	H007	Fri	Spring	Leisure	Corporate	Gold	Standard	5	38	142.44	0	3	4	2	4	4	8	5	5	8	4	6	check-in was quick; needs improvement
R001309	H017	Wed	Fall	Business	Direct	None	Suite	5	14	231.95	0	8	5	5	9	10	9	10	7	9	8	8	check-in was quick; noise from hallway; could be better
R001310	H013	Fri	Spring	Leisure	Corporate	None	Suite	1	13	178.32	0	10	7	8	7	10	10	10	5	4	8	7	maintenance fixed it; street noise was noticeable; okay overall
R001311	H015	Wed	Fall	Business	Direct	None	Standard	1	17	253.6	0	6	9	4	3	3	6	6	2	5	6	5	internet was reliable; could be better
R001312	H017	Mon	Fall	Leisure	Corporate	Silver	Premium	2	1	155.04	0	5	4	9	6	5	5	7	1	5	6	5	maintenance fixed it; wifi was fast; okay overall
R001313	H020	Wed	Fall	Leisure	Group	Silver	Premium	6	44	171.77	0	9	10	8	8	10	9	10	7	7	9	8	long line at check-in; would definitely return
R001314	H017	Mon	Winter	Business	Direct	None	Suite	3	17	155.28	0	3	3	3	4	5	2	7	5	1	4	4	cleaning was excellent; not what I expected
R001315	H009	Thu	Fall	Business	OTA	None	Standard	4	38	296.58	1	4	3	3	5	1	3	2	3	1	1	2	limited breakfast options; internet was reliable; won’t be back
R001316	H003	Sat	Summer	Leisure	OTA	None	Suite	4	14	107.79	0	7	5	7	5	6	6	2	3	5	6	6	could hear neighbors; could be better
R001317	H012	Sat	Spring	Leisure	OTA	None	Standard	7	18	144.51	0	6	10	6	7	5	6	7	6	8	7	5	noise from hallway; met expectations
R001318	H009	Tue	Summer	Business	Corporate	None	Standard	2	29	116.32	0	1	2	1	2	4	4	2	1	4	2	1	staff was friendly; won’t be back
R001319	H019	Mon	Summer	Leisure	OTA	Silver	Standard	6	5	209.4	0	3	2	5	2	3	5	2	6	1	2	2	bathroom could be cleaner; needs improvement
R001320	H001	Tue	Fall	Leisure	OTA	None	Standard	1	17	106.54	0	6	2	3	4	5	3	6	4	1	5	4	wifi was fast; could be better
R001321	H018	Sun	Fall	Business	Direct	None	Premium	7	29	284.33	0	6	4	4	8	6	5	10	7	8	6	6	great service from the team; cleaning was excellent; met expectations
R001322	H013	Wed	Spring	Business	OTA	None	Standard	4	15	179.84	0	3	5	3	3	5	4	4	4	4	4	3	street noise was noticeable; not what I expected
R001323	H002	Thu	Summer	Business	Corporate	Silver	Standard	2	12	199.74	0	6	5	4	1	3	5	9	9	1	5	5	internet was reliable; met expectations
R001324	H005	Mon	Winter	Leisure	Direct	Gold	Standard	3	31	202.79	0	6	7	10	6	8	9	6	6	10	8	8	breakfast was crowded; staff was friendly; met expectations
R001325	H002	Sat	Spring	Business	OTA	None	Standard	6	35	173.8	0	4	3	4	6	5	1	5	5	3	5	5	overpriced for what you get; staff was friendly; okay overall
R001326	H019	Thu	Fall	Leisure	Direct	None	Standard	3	37	182.3	0	1	5	4	4	1	4	5	1	8	4	4	could hear neighbors; breakfast was crowded; needs improvement
R001327	H013	Mon	Summer	Business	Corporate	Silver	Standard	1	10	180.08	0	6	6	8	7	7	7	7	4	7	7	6	great view from the room; okay overall
R001328	H013	Thu	Fall	Leisure	OTA	None	Standard	3	11	206.15	0	7	6	5	6	6	3	6	8	4	6	7	AC was loud; met expectations
R001329	H011	Fri	Summer	Business	OTA	Gold	Standard	7	12	125.66	0	3	3	3	1	3	1	1	2	3	3	3	good coffee; internet was reliable; won’t be back
R001330	H009	Thu	Spring	Business	Direct	Diamond	Standard	3	27	115.48	1	6	6	7	4	6	2	5	2	3	4	5	overpriced for what you get; needs improvement
R001331	H004	Sun	Summer	Leisure	OTA	Silver	Standard	4	4	224.26	0	4	3	6	4	6	4	7	3	2	4	4	took too long to address; good value; not what I expected
R001332	H015	Sun	Winter	Business	Group	Diamond	Standard	2	4	174.88	0	7	4	4	6	4	5	5	7	6	5	6	good value; could be better
R001333	H003	Thu	Fall	Business	OTA	None	Premium	1	9	80.0	1	6	5	6	5	4	4	7	7	2	4	4	maintenance fixed it; needs improvement
R001334	H005	Sun	Fall	Leisure	OTA	None	Premium	2	7	146.49	0	5	7	5	7	6	7	7	6	10	6	6	room felt small; noise from hallway; met expectations
R001335	H020	Sat	Fall	Leisure	Corporate	None	Standard	7	29	266.8	0	9	5	5	7	6	7	7	3	6	7	6	problem wasn’t resolved; okay overall
R001336	H002	Wed	Fall	Leisure	OTA	None	Standard	4	28	165.38	0	5	3	7	4	6	3	1	3	3	4	4	wifi kept dropping; needs improvement
R001337	H020	Sat	Summer	Business	OTA	None	Standard	3	12	143.14	0	6	4	2	4	8	6	5	8	5	5	5	wifi was fast; slow response from staff; okay overall
R001338	H002	Thu	Summer	Leisure	Direct	Silver	Premium	4	16	85.31	0	6	7	5	5	4	1	5	9	9	5	4	great service from the team; met expectations
R001339	H010	Thu	Fall	Leisure	Direct	Silver	Standard	6	0	140.93	0	6	8	4	4	5	2	4	7	2	6	6	internet was reliable; could be better
R001340	H012	Thu	Spring	Business	Corporate	None	Standard	7	13	105.17	0	5	2	6	4	7	4	4	4	7	4	5	staff was friendly; wifi was weak in the room; not what I expected
R001341	H003	Sat	Fall	Business	Corporate	Silver	Standard	3	33	200.75	1	4	6	2	4	9	3	4	2	5	4	6	took too long to address; wifi kept dropping; needs improvement
R001342	H018	Sun	Spring	Leisure	Group	None	Standard	6	12	177.96	0	7	4	5	5	5	5	3	4	8	6	6	limited breakfast options; fees felt high; could be better
R001343	H020	Wed	Fall	Business	Corporate	None	Standard	6	5	153.19	0	4	7	7	8	6	6	3	5	6	6	6	breakfast was great; okay overall
R001344	H005	Fri	Summer	Leisure	OTA	None	Standard	1	35	129.27	0	4	7	6	6	4	2	7	5	8	5	4	wifi kept dropping; okay overall
R001345	H005	Fri	Fall	Leisure	Direct	Silver	Standard	7	5	266.59	1	7	9	9	9	5	9	5	4	9	8	8	bed was comfortable; okay overall
R001346	H016	Sun	Summer	Leisure	OTA	Silver	Standard	2	37	132.68	0	7	7	6	7	4	7	9	4	9	6	7	long line at check-in; could be better
R001347	H008	Thu	Summer	Business	Group	Gold	Standard	6	53	132.9	0	7	3	3	4	4	4	5	3	3	4	4	noise from hallway; needs improvement
R001348	H001	Tue	Fall	Business	Corporate	None	Premium	7	17	160.42	0	5	4	7	9	9	4	8	8	7	6	4	great service from the team; okay overall
R001349	H016	Tue	Spring	Business	OTA	None	Suite	5	33	168.81	0	6	8	5	7	4	3	5	2	9	5	5	limited breakfast options; okay overall
R001350	H008	Mon	Spring	Business	OTA	Diamond	Standard	3	0	203.92	0	5	4	4	3	6	6	4	6	7	5	5	noise from hallway; overpriced for what you get; could be better
R001351	H009	Mon	Winter	Leisure	Corporate	None	Standard	6	0	230.83	0	2	6	1	3	5	3	5	1	1	4	4	problem wasn’t resolved; could hear neighbors; won’t be back
R001352	H014	Wed	Summer	Leisure	Group	None	Standard	4	8	226.33	0	2	4	2	3	1	4	3	4	2	2	3	could hear neighbors; needs improvement
R001353	H012	Mon	Summer	Business	Corporate	None	Standard	6	28	320.79	1	5	7	8	7	6	4	6	7	8	7	8	front desk was unhelpful; bed was comfortable; met expectations
R001354	H017	Sun	Summer	Business	OTA	None	Premium	5	18	80.0	0	2	3	3	1	1	2	1	1	1	2	1	staff was friendly; needs improvement
R001355	H016	Wed	Winter	Leisure	Direct	Silver	Standard	3	16	188.85	1	6	7	6	6	6	6	4	8	3	5	5	breakfast was crowded; could be better
R001356	H019	Wed	Winter	Business	OTA	None	Standard	4	3	143.77	0	3	5	5	2	1	2	3	1	3	3	2	breakfast was crowded; not what I expected
R001357	H019	Sat	Fall	Business	Direct	Silver	Premium	2	16	295.59	0	7	4	4	5	3	5	7	8	5	6	6	wifi kept dropping; met expectations
R001358	H013	Wed	Summer	Business	Group	Diamond	Standard	1	10	185.54	0	5	7	8	8	7	6	7	7	8	7	7	overpriced for what you get; bathroom could be cleaner; met expectations
R001359	H012	Fri	Winter	Leisure	OTA	None	Standard	5	7	80.0	0	6	6	5	2	4	4	4	2	1	5	5	wifi kept dropping; bed was comfortable; okay overall
R001360	H010	Sat	Winter	Business	OTA	None	Premium	2	6	201.05	1	3	5	8	4	5	4	8	2	3	4	4	wifi kept dropping; needs improvement
R001361	H014	Wed	Winter	Leisure	Direct	Gold	Standard	4	20	191.01	0	6	6	7	10	9	8	5	8	5	8	6	slow response from staff; met expectations
R001362	H002	Thu	Fall	Business	OTA	Silver	Standard	1	9	220.46	0	3	6	4	5	5	5	5	4	3	4	4	check-in was quick; needs improvement
R001363	H009	Wed	Summer	Leisure	OTA	Gold	Premium	5	18	131.59	1	3	9	8	8	3	4	6	8	8	6	6	cleaning was excellent; met expectations
R001364	H006	Thu	Summer	Business	Direct	None	Standard	2	0	194.67	0	1	4	3	3	1	1	1	1	5	3	4	fees felt high; won’t be back
R001365	H012	Fri	Summer	Business	Corporate	Silver	Standard	2	24	158.77	0	6	5	7	7	9	5	9	8	8	7	7	great service from the team; issue was resolved quickly; okay overall
R001366	H019	Wed	Fall	Business	OTA	Diamond	Standard	2	21	134.72	0	6	6	8	6	4	6	9	1	5	6	6	great view from the room; good coffee; could be better
R001367	H010	Thu	Spring	Business	OTA	None	Standard	7	15	195.56	0	7	8	5	6	8	7	9	7	7	7	8	long line at check-in; reasonable rate; could be better
R001368	H012	Thu	Spring	Business	Direct	Gold	Standard	5	20	184.17	1	3	6	8	5	8	7	7	6	4	5	5	street noise was noticeable; could be better
R001369	H009	Mon	Spring	Business	OTA	Silver	Standard	5	29	238.0	0	3	6	7	4	5	4	5	3	5	5	5	internet was reliable; okay overall
R001370	H007	Tue	Fall	Business	Corporate	Gold	Standard	3	1	176.62	0	8	8	8	10	8	10	10	8	4	7	7	maintenance fixed it; check-in was quick; met expectations
R001371	H014	Thu	Summer	Business	Corporate	None	Standard	7	19	211.23	0	3	5	4	4	2	4	6	5	2	3	3	quiet at night; not what I expected
R001372	H005	Mon	Summer	Leisure	Direct	None	Standard	1	2	102.55	0	8	9	6	7	8	10	10	4	9	9	8	mobile check-in worked well; great stay overall
R001373	H018	Fri	Fall	Business	Group	None	Premium	3	19	258.67	0	7	4	4	6	3	7	4	6	2	5	4	overpriced for what you get; met expectations
R001374	H003	Sun	Winter	Leisure	Corporate	Diamond	Standard	1	15	128.37	0	4	5	1	8	4	3	9	7	6	5	5	wifi was fast; okay overall
R001375	H005	Sat	Spring	Leisure	Direct	None	Standard	5	18	229.18	0	7	5	5	8	4	2	8	6	3	5	4	quiet at night; met expectations
R001376	H016	Wed	Summer	Business	Direct	None	Premium	7	28	190.79	0	7	8	7	5	6	4	9	7	9	7	7	good coffee; met expectations
R001377	H002	Thu	Fall	Leisure	Direct	Gold	Standard	6	28	183.18	1	2	3	2	6	1	2	5	1	1	1	1	long line at check-in; not what I expected
R001378	H009	Fri	Winter	Leisure	Corporate	None	Standard	2	31	220.62	0	3	6	3	2	6	4	2	1	6	4	4	AC was loud; won’t be back
R001379	H008	Fri	Summer	Leisure	Direct	Silver	Standard	6	13	80.0	0	3	4	3	2	2	1	4	3	1	3	3	room was spotless; won’t be back
R001380	H019	Sun	Fall	Business	OTA	None	Standard	2	26	140.59	0	7	6	5	3	5	8	4	2	6	5	5	slow response from staff; met expectations
R001381	H004	Thu	Summer	Business	Corporate	Silver	Suite	3	24	219.77	0	6	6	9	5	6	4	7	6	3	6	6	overpriced for what you get; okay overall
R001382	H010	Tue	Summer	Business	Corporate	None	Standard	5	14	290.33	0	10	5	7	5	5	4	4	7	8	7	7	long line at check-in; wifi was weak in the room; could be better
R001383	H010	Wed	Spring	Business	OTA	Silver	Premium	4	19	173.54	0	9	9	8	5	10	6	6	9	7	8	8	room was spotless; wifi was fast; met expectations
R001384	H017	Sun	Winter	Leisure	Corporate	Silver	Standard	2	16	80.0	0	5	5	8	3	8	7	3	4	5	6	5	quiet at night; okay overall
R001385	H011	Fri	Spring	Leisure	Direct	None	Standard	4	35	155.97	0	8	8	8	7	5	5	7	3	9	9	9	breakfast was great; would definitely return
R001386	H003	Sat	Spring	Business	Corporate	None	Standard	2	28	171.39	0	5	7	8	6	6	5	5	10	6	5	7	cleaning was excellent; met expectations
R001387	H018	Fri	Fall	Leisure	Direct	None	Standard	6	14	241.57	0	7	5	6	7	2	7	5	6	5	5	5	fees felt high; okay overall
R001388	H004	Sun	Summer	Business	Direct	Gold	Standard	1	13	177.9	0	3	7	3	5	5	6	6	6	4	5	5	internet was reliable; slow response from staff; met expectations
R001389	H014	Thu	Fall	Leisure	Group	None	Standard	6	29	98.4	0	8	4	6	6	2	8	4	6	9	6	5	keys didn’t work at first; street noise was noticeable; okay overall
R001390	H006	Sun	Winter	Business	Direct	None	Standard	7	34	232.81	0	1	1	4	3	3	3	2	2	1	1	1	overpriced for what you get; not what I expected
R001391	H003	Sun	Spring	Leisure	Direct	None	Premium	6	22	209.1	0	3	3	1	3	3	1	3	1	1	2	1	slow response from staff; needs improvement
R001392	H004	Sat	Fall	Leisure	OTA	Silver	Premium	5	26	133.05	0	9	7	8	9	4	7	10	10	8	9	9	cleaning was excellent; great stay overall
R001393	H019	Sun	Winter	Business	Direct	Gold	Standard	4	34	218.19	0	6	9	9	8	8	8	7	8	10	7	8	noise from hallway; met expectations
R001394	H020	Thu	Winter	Business	Direct	None	Suite	4	16	142.2	0	5	8	6	5	7	7	8	7	7	7	7	check-in was quick; could be better
R001395	H013	Sat	Spring	Leisure	OTA	Gold	Standard	4	19	157.11	0	10	10	6	10	10	9	8	9	9	9	10	noise from hallway; would definitely return
R001396	H017	Thu	Winter	Business	Corporate	Silver	Standard	7	24	143.22	1	3	3	4	3	4	4	2	4	4	3	3	problem wasn’t resolved; internet was reliable; won’t be back
R001397	H019	Sat	Winter	Business	Corporate	Gold	Standard	1	13	156.4	0	5	5	6	6	10	5	5	9	10	6	5	breakfast was crowded; okay overall
R001398	H007	Sat	Spring	Leisure	Direct	Gold	Standard	5	38	229.41	0	5	6	6	4	5	6	8	4	6	5	5	noise from hallway; reasonable rate; okay overall
R001399	H016	Sat	Fall	Leisure	OTA	None	Standard	4	13	80.0	0	10	8	10	9	10	10	10	10	6	9	8	wifi was weak in the room; highly recommend
R001400	H011	Thu	Winter	Business	Corporate	Diamond	Standard	2	19	241.25	0	4	4	6	5	5	5	7	2	1	5	4	slow response from staff; internet was reliable; okay overall
R001401	H004	Sat	Summer	Business	Direct	Gold	Premium	3	41	185.58	0	7	7	5	3	4	4	6	7	4	5	5	AC was loud; could be better
R001402	H011	Sun	Summer	Business	Direct	Silver	Standard	4	0	151.59	0	3	1	2	2	4	3	5	4	6	3	5	wifi was fast; needs improvement
R001403	H001	Fri	Summer	Leisure	Direct	None	Premium	1	21	176.25	0	7	7	10	7	9	8	10	10	10	8	9	front desk was unhelpful; okay overall
R001404	H013	Thu	Summer	Business	OTA	None	Standard	4	10	120.46	0	4	3	5	5	4	3	2	5	3	5	4	overpriced for what you get; staff was friendly; met expectations
R001405	H006	Sat	Winter	Business	Direct	Silver	Standard	2	18	80.0	0	3	5	5	4	3	5	9	3	2	4	4	problem wasn’t resolved; won’t be back
R001406	H003	Sat	Winter	Business	Corporate	None	Standard	3	4	122.15	0	4	1	3	4	3	5	2	3	2	3	4	check-in was quick; breakfast was crowded; needs improvement
R001407	H015	Thu	Summer	Leisure	Group	Silver	Standard	2	14	80.0	0	4	5	6	4	4	3	2	4	5	4	4	good coffee; won’t be back
R001408	H007	Fri	Fall	Business	Direct	None	Standard	6	18	93.84	1	1	3	3	3	1	7	3	1	2	1	1	breakfast was great; street noise was noticeable; not what I expected
R001409	H009	Fri	Spring	Leisure	OTA	Silver	Premium	7	21	80.0	0	3	5	4	7	6	5	4	7	6	4	2	maintenance fixed it; won’t be back
R001410	H002	Fri	Summer	Leisure	Direct	None	Standard	1	29	248.43	0	1	4	1	1	1	3	3	2	2	1	1	hallways felt dirty; long line at check-in; won’t be back
R001411	H002	Wed	Fall	Leisure	Direct	None	Standard	2	0	97.95	0	2	5	2	5	4	2	5	8	3	3	3	mobile check-in worked well; issue was resolved quickly; not what I expected
R001412	H019	Wed	Fall	Leisure	Corporate	None	Premium	2	16	172.53	0	9	8	9	9	6	7	2	10	10	8	9	breakfast was great; okay overall
R001413	H012	Sun	Fall	Leisure	OTA	Gold	Standard	4	16	242.0	0	5	6	5	7	7	7	7	5	10	6	7	breakfast was crowded; check-in was quick; met expectations
R001414	H009	Sun	Summer	Leisure	Group	Silver	Premium	3	17	226.01	0	5	6	6	8	6	6	3	7	10	7	7	great service from the team; okay overall
R001415	H014	Wed	Fall	Business	OTA	Diamond	Standard	4	18	157.29	0	7	6	6	5	8	5	8	7	10	7	8	noise from hallway; long line at check-in; okay overall
R001416	H015	Sun	Summer	Leisure	Direct	Gold	Standard	1	8	157.57	1	4	6	2	5	3	4	2	1	2	3	2	mobile check-in worked well; needs improvement
R001417	H003	Thu	Summer	Business	OTA	Gold	Standard	7	0	185.81	0	6	6	4	3	1	4	4	6	1	4	5	check-in was quick; won’t be back
R001418	H019	Tue	Fall	Business	Direct	Silver	Standard	7	21	301.73	1	4	6	3	3	5	5	3	5	2	3	1	cleaning was excellent; won’t be back
R001419	H014	Sat	Spring	Leisure	Corporate	Gold	Standard	7	6	199.78	0	5	8	7	8	9	6	8	10	9	8	7	good coffee; okay overall
R001420	H007	Mon	Fall	Leisure	OTA	Diamond	Standard	4	23	215.09	0	4	6	5	4	5	5	6	5	8	5	4	mobile check-in worked well; met expectations
R001421	H006	Mon	Fall	Leisure	Direct	Gold	Suite	5	7	310.98	0	4	3	3	3	1	2	1	3	3	2	1	staff was friendly; quiet at night; not what I expected
R001422	H002	Sun	Summer	Business	OTA	None	Standard	1	26	191.67	0	3	6	6	4	4	8	3	4	6	4	4	bed was comfortable; not what I expected
R001423	H006	Thu	Spring	Business	OTA	Silver	Standard	5	17	243.87	0	2	3	5	4	1	2	2	2	1	3	2	slow response from staff; not what I expected
R001424	H007	Tue	Fall	Business	Corporate	None	Standard	5	18	203.66	0	4	6	6	3	6	2	5	3	3	5	4	check-in was quick; bathroom could be cleaner; could be better
R001425	H005	Thu	Spring	Business	Direct	None	Standard	6	15	202.79	1	4	4	3	5	7	6	10	7	8	6	6	front desk was unhelpful; met expectations
R001426	H014	Fri	Summer	Business	Direct	Silver	Standard	6	13	117.2	0	5	4	7	7	6	8	5	2	6	7	6	bed was comfortable; okay overall
R001427	H006	Fri	Winter	Business	Direct	Gold	Standard	1	15	107.25	0	4	1	4	1	4	2	3	1	2	2	1	wifi was fast; won’t be back
R001428	H010	Wed	Fall	Business	OTA	None	Standard	3	32	144.26	0	5	4	5	5	4	5	2	1	4	5	5	bathroom could be cleaner; okay overall
R001429	H012	Wed	Fall	Leisure	OTA	None	Standard	4	0	227.92	0	5	4	4	8	7	6	4	6	6	4	4	limited breakfast options; not what I expected
R001430	H002	Thu	Winter	Business	Direct	Gold	Standard	4	10	225.07	1	6	4	7	4	1	4	4	4	5	3	4	overpriced for what you get; not what I expected
R001431	H004	Fri	Summer	Leisure	OTA	None	Premium	4	31	254.99	1	6	6	3	6	4	5	5	3	2	4	5	great view from the room; won’t be back
R001432	H002	Sun	Fall	Leisure	OTA	None	Standard	5	28	174.33	0	3	1	2	2	2	1	1	5	3	2	1	good value; won’t be back
R001433	H014	Wed	Winter	Business	Direct	Gold	Premium	5	34	207.26	0	7	10	9	7	7	5	7	7	6	8	8	wifi was fast; met expectations
R001434	H014	Sun	Spring	Business	Group	Gold	Premium	2	17	207.52	1	9	7	9	10	7	7	7	9	10	8	9	good value; could be better
R001435	H003	Sun	Spring	Business	OTA	Silver	Standard	5	2	168.55	1	5	4	2	4	4	6	6	4	4	3	4	good value; problem wasn’t resolved; not what I expected
R001436	H015	Wed	Fall	Leisure	OTA	Silver	Standard	5	5	155.71	1	3	3	3	2	5	5	5	6	4	2	1	noise from hallway; won’t be back
R001437	H017	Mon	Summer	Business	OTA	None	Standard	2	14	85.9	0	5	5	6	7	5	4	6	3	8	7	7	front desk was unhelpful; met expectations
R001438	H003	Fri	Winter	Business	Direct	None	Premium	5	27	165.85	0	4	5	3	1	4	1	1	3	3	4	3	street noise was noticeable; needs improvement
R001439	H003	Sun	Spring	Leisure	Corporate	Gold	Standard	4	15	168.76	0	6	6	6	5	4	2	4	4	4	5	5	overpriced for what you get; could be better
R001440	H016	Mon	Summer	Leisure	OTA	Gold	Standard	6	14	243.06	0	5	3	4	6	6	5	5	2	9	6	6	breakfast was crowded; room was spotless; could be better
R001441	H007	Tue	Winter	Business	OTA	None	Standard	3	23	248.98	0	4	5	4	4	3	3	3	4	10	5	5	fees felt high; met expectations
R001442	H007	Fri	Summer	Business	Group	None	Premium	7	18	183.74	0	7	9	8	6	6	6	6	9	1	6	6	problem wasn’t resolved; could be better
R001443	H012	Sat	Winter	Business	Corporate	None	Standard	4	13	298.8	0	6	6	7	8	3	7	10	7	5	5	4	mobile check-in worked well; okay overall
R001444	H002	Mon	Fall	Business	Corporate	None	Premium	7	6	186.4	1	6	6	4	6	8	6	4	6	10	7	7	street noise was noticeable; staff was friendly; could be better
R001445	H009	Wed	Summer	Business	Direct	None	Standard	1	29	236.98	1	4	6	5	4	5	2	1	2	6	4	4	wifi kept dropping; maintenance fixed it; won’t be back
R001446	H007	Tue	Fall	Leisure	Direct	None	Standard	1	31	169.0	0	8	6	4	7	8	7	5	6	7	6	4	long line at check-in; okay overall
R001447	H017	Sun	Winter	Leisure	OTA	Gold	Standard	2	5	106.59	0	4	7	3	5	4	4	4	4	5	5	5	street noise was noticeable; could be better
R001448	H015	Fri	Summer	Business	OTA	None	Standard	6	13	149.49	0	2	4	3	2	1	3	1	1	3	2	1	great view from the room; needs improvement
R001449	H006	Thu	Fall	Leisure	OTA	Silver	Standard	4	26	263.44	0	5	4	6	3	1	8	1	2	10	5	5	reasonable rate; breakfast was great; met expectations
R001450	H014	Sat	Summer	Business	Corporate	Silver	Standard	5	4	159.15	0	7	6	6	7	6	8	4	6	6	6	5	wifi kept dropping; could be better
R001451	H009	Thu	Winter	Leisure	Direct	Gold	Premium	1	22	147.01	0	6	7	6	6	3	3	3	7	5	5	3	breakfast was crowded; long line at check-in; could be better
R001452	H010	Sun	Winter	Leisure	Direct	Diamond	Standard	3	14	174.76	0	10	9	10	10	10	10	9	6	8	10	9	reasonable rate; staff was friendly; great stay overall
R001453	H015	Tue	Summer	Leisure	OTA	None	Standard	3	3	151.63	0	5	5	3	1	3	1	2	4	5	4	3	great service from the team; needs improvement
R001454	H006	Mon	Summer	Leisure	Direct	None	Standard	7	39	246.63	0	3	4	1	2	1	2	1	5	2	2	2	great view from the room; not what I expected
R001455	H012	Thu	Fall	Business	OTA	Gold	Standard	1	14	288.13	1	5	7	4	7	3	3	6	3	1	3	2	great view from the room; not what I expected
R001456	H009	Tue	Fall	Business	Corporate	None	Standard	7	24	175.36	0	3	3	1	4	1	1	3	1	1	1	1	noise from hallway; won’t be back
R001457	H014	Sat	Summer	Business	OTA	None	Premium	3	5	207.43	0	7	7	7	5	2	5	7	7	4	6	5	great view from the room; bathroom could be cleaner; okay overall
R001458	H008	Thu	Fall	Business	Corporate	None	Premium	6	37	233.31	1	4	4	4	5	7	7	1	4	1	2	2	great view from the room; won’t be back
R001459	H019	Wed	Summer	Leisure	OTA	Gold	Premium	3	41	181.51	0	5	3	3	6	9	4	5	5	6	6	7	maintenance fixed it; met expectations
R001460	H008	Sat	Winter	Business	Corporate	None	Standard	1	0	122.33	0	2	1	1	5	5	2	2	1	1	3	4	breakfast was crowded; won’t be back
R001461	H003	Thu	Winter	Leisure	Direct	Silver	Standard	5	16	150.43	0	2	3	4	2	3	1	1	2	3	3	5	room was spotless; great service from the team; won’t be back
R001462	H010	Thu	Fall	Business	Corporate	None	Premium	2	34	199.72	1	10	8	8	9	7	8	9	8	10	9	6	front desk was unhelpful; would definitely return
R001463	H005	Tue	Spring	Business	Corporate	Silver	Standard	2	12	198.63	0	10	9	9	8	10	8	10	5	5	9	8	problem wasn’t resolved; quiet at night; highly recommend
R001464	H010	Sun	Fall	Business	Direct	None	Standard	7	23	80.0	1	3	3	1	5	3	3	3	1	2	1	2	good value; needs improvement
R001465	H019	Fri	Winter	Leisure	OTA	Gold	Standard	2	0	148.8	0	7	7	4	5	6	7	4	6	8	6	5	AC was loud; okay overall
R001466	H003	Sat	Winter	Leisure	Corporate	Gold	Premium	7	9	130.78	0	5	5	6	5	7	5	5	9	9	6	7	quiet at night; met expectations
R001467	H001	Sat	Fall	Business	Direct	None	Standard	3	22	227.94	1	5	9	8	8	7	5	5	9	10	7	7	good coffee; could be better
R001468	H006	Thu	Fall	Business	Corporate	None	Suite	2	11	133.11	0	4	4	4	4	6	3	6	3	4	5	5	street noise was noticeable; met expectations
R001469	H009	Mon	Fall	Leisure	Group	Gold	Standard	4	14	147.33	0	4	9	7	7	7	6	5	4	7	6	5	wifi was weak in the room; met expectations
R001470	H003	Fri	Winter	Business	Corporate	Gold	Standard	2	0	145.23	1	5	6	6	6	8	6	3	6	4	6	7	great service from the team; quiet at night; okay overall
R001471	H014	Mon	Spring	Leisure	OTA	None	Standard	7	26	222.48	0	6	7	5	4	5	6	7	2	7	6	7	staff was friendly; room felt small; could be better
R001472	H013	Sun	Summer	Business	OTA	None	Premium	5	2	233.13	0	5	5	5	4	5	5	7	7	3	4	4	bathroom could be cleaner; won’t be back
R001473	H015	Tue	Fall	Business	Group	None	Standard	6	36	204.61	1	7	8	5	7	6	5	4	3	2	5	3	overpriced for what you get; okay overall
R001474	H009	Wed	Spring	Business	OTA	None	Premium	1	10	241.38	0	2	4	2	3	1	3	4	1	4	2	1	keys didn’t work at first; wifi was fast; won’t be back
